Began,Ended,Duration in Days,longitude,latitude,Affected sq km,Dead,Displaced
2015-12-05,2016-01-06,33.0,-2.77486,54.9868,36750.19,3.0,64000.0
2015-12-12,2016-01-06,26.0,121.229,12.8357,6147.67,40.0,20000.0
2015-12-01,2016-01-06,37.0,39.5133,-2.03643,103769.52,112.0,100000.0
2015-12-23,2016-01-06,15.0,152.121,-30.3571,66654.94,0.0,0.0
2015-12-01,2016-01-06,37.0,-55.8482,-26.0369,574056.99,12.0,170000.0
2015-12-15,2016-01-06,23.0,-91.0829,35.6658,526834.76,31.0,4000.0
2015-11-21,2015-12-04,14.0,19.9659,41.2871,11409.69,1.0,300.0
2015-11-25,2015-12-04,10.0,73.1892,-0.144295,6371.38,0.0,0.0
2015-11-26,2015-12-04,9.0,-100.238,33.9839,439381.83,14.0,300.0
2015-11-25,2015-12-04,10.0,51.885,21.6586,402659.81,1.0,0.0
2015-11-10,2015-12-04,25.0,78.8554,11.8278,93202.05,180.0,400000.0
2015-10-23,2015-10-28,6.0,98.4028,3.66137,56237.12,0.0,4000.0
2015-10-21,2015-10-28,8.0,21.698,39.7609,129124.64,1.0,0.0
2015-10-02,2015-10-08,7.0,-73.8324,22.4916,4639.41,0.0,300.0
2015-10-24,2015-10-28,5.0,30.4819,31.0422,8231.84,0.0,6.0
2015-10-15,2015-10-28,14.0,45.4022,4.70359,438557.45,0.0,0.0
2015-10-16,2015-10-28,13.0,-6.95501,28.3337,92984.74,0.0,3000.0
2015-10-23,2015-10-28,6.0,-101.772,28.3812,1432949.6,0.0,0.0
2015-10-14,2015-10-28,15.0,-53.5718,-29.9568,392899.19,0.0,10000.0
2015-10-22,2015-10-28,7.0,121.241,16.691,80271.75,54.0,60000.0
2015-10-12,2015-10-13,2.0,28.7321,44.6422,441.218,0.0,50.0
2015-09-20,2015-10-01,12.0,177.922,-38.6637,837.216,0.0,0.0
2015-10-02,2015-10-03,2.0,-90.6128,14.8262,6023.19,500.0,433.0
2015-10-03,2015-10-07,5.0,6.5302,43.3765,2895.95,16.0,0.0
2015-10-01,2015-10-13,13.0,-80.4927,33.5033,61355.23,15.0,800.0
2015-08-30,2015-09-11,13.0,11.5284,9.95267,186816.02,30.0,2000.0
2015-09-07,2015-09-11,5.0,104.762,20.5669,192886.73,2.0,100.0
2015-09-09,2015-09-11,3.0,140.046,36.9375,52859.22,3.0,100000.0
2015-07-25,2015-08-19,26.0,2.49701,14.8417,686734.83,4.0,3000.0
2015-08-10,2015-08-19,10.0,-59.8071,-35.1086,133852.96,3.0,11000.0
2015-08-17,2015-08-19,3.0,-55.6997,-32.6329,63707.6,0.0,4158.0
2015-08-13,2015-09-11,30.0,93.751,26.8946,69190.14,5.0,18000.0
2015-08-02,2015-08-05,4.0,125.052,7.39149,9791.46,7.0,0.0
2015-08-02,2015-08-05,4.0,112.531,35.0925,53741.01,8.0,0.0
2015-07-26,2015-08-05,11.0,-13.4378,10.0395,22455.5,4.0,0.0
2015-08-03,2015-08-05,3.0,21.1907,41.7575,5957.41,4.0,0.0
2015-07-15,2015-08-19,36.0,95.5326,20.1747,296423.97,88.0,85400.0
2015-07-15,2015-08-19,36.0,82.6165,26.2074,629961.61,206.0,300000.0
2015-07-25,2015-08-05,12.0,-58.273,-25.0451,28652.69,0.0,3700.0
2015-07-25,2015-08-05,12.0,106.865,20.8137,24336.74,20.0,3000.0
2015-07-17,2015-07-21,5.0,-113.587,34.1148,109391.2,0.0,0.0
2015-07-12,2015-07-21,10.0,120.796,15.5509,16151.08,4.0,3000.0
2015-07-14,2015-07-21,8.0,54.0377,33.3604,776608.3,20.0,0.0
2015-07-10,2015-07-21,12.0,-50.751,-25.5689,690931.31,3.0,1000.0
2015-07-16,2015-07-21,6.0,-58.7431,6.66576,30931.23,0.0,0.0
2015-07-18,2015-07-21,4.0,-83.165,38.3887,44261.07,3.0,0.0
